SCHOOL,PROGRAM,DEGREE,ONLINE,ONCAMPUS,COUNTRY,STATE,CITY,DEPARTMENT,URL
Auburn University,Online Master of Business Administration with concentration in Business Analytics,M,F,T,US,AL,Auburn,Raymond J. Harbert College of Business,http://harbert.auburn.edu/academics/online-programs/mba-online/index.php
Auburn University,Data Science,B,F,T,US,AL,Auburn,Business,http://harbert.auburn.edu/academics/undergraduate/business-analytics/index.php
The University of Alabama,"Master of Science in Marketing, Specialization in Marketing Analytics",M,T,F,US,AL,Tuscaloosa,Manderson Graduate School of Business,http://bamabydistance.ua.edu/degrees/ms-in-marketing-with-a-specialization-in-marketing-analytics/index.php
The University of Alabama,MS in Operations Management - Decision Analytics Track,M,F,T,US,AL,Tuscaloosa,Manderson Graduate School of Business,http://bamabydistance.ua.edu/degrees/ms-in-operations-management-online/curriculum/decision-analytics-track.php
The University of Alabama,"M.S. degree in Applied Statistics, Data Mining Track",M,F,T,US,AL,Tuscaloosa,Manderson Graduate School of Business,http://manderson.cba.ua.edu/academics/departments/masters_program/master_of_science_in_applied_statistics
The University of Alabama,MBA with concentration in Business Analytics,M,T,F,US,AL,Tuscaloosa,Culverhouse College of Commerce,http://manderson.cba.ua.edu/academics/departments/mba_program/curriculum
Arkansas Tech University,Business Data Analytics,B,F,T,US,AR,Russellville,Business,http://www.atu.edu/business/programs_bdanalytics.php
University of Arkansas,Graduate Certificate in Business Analytics,C,T,F,US,AR,Fayetteville,Sam M. Walton College of Business,http://gsb.uark.edu/business-analytics-certificate/
University of Arkansas,Master of Information Systems with Business Analytics Concentration,M,F,T,US,AR,Fayetteville,Sam M. Walton College of Business,http://gsb.uark.edu/master-of-information-systems/
University of Arkansas,Professional Master of Information Systems,M,F,T,US,AR,Fayetteville,Sam M. Walton College of Business,http://online.uark.edu/programs/professional-master-information-systems.html
University of Arkansas at Little Rock,Information Quality Program,M,F,T,US,AR,Little Rock,Information Quality,http://ualr.edu/informationquality/
University of Arkansas at Little Rock,Information Quality Program PhD,D,F,T,US,AR,Little Rock,Information Quality,http://ualr.edu/informationquality/phd
Arizona State University,Advanced Analytics in Higher Education,C,T,F,US,AZ,Tempe,,http://asuonline.asu.edu/online-degree-programs/certificates/graduate-certificate-advanced-analytics-higher-education
Arizona State University,Business Analytics,M,F,T,US,AZ,Tempe,Business,http://wpcarey.asu.edu/masters-programs/business-analytics
Arizona State University,Business Data Analytics,B,F,T,US,AZ,Tempe,Business,http://wpcarey.asu.edu/undergraduate-degrees/data-analytics
Arizona State University,Master of Science in Business Analytics,M,T,F,US,AZ,Tempe,W.P. Carey School of Business,https://programs.wpcarey.asu.edu/masters-programs/online-business-analytics
University of Arizona,Business Intelligence & Analytics (Certificate NDP),C,F,T,US,AZ,Tucson,"Management Information Systems (MIS) Department, in association with t",http://grad.arizona.edu/programs/programinfo/BIACRTG
California Polytechnic State University,Data Science Minor,B,F,T,US,CA,San Luis Obispo,College of Science and Mathematics,http://catalog.calpoly.edu/collegesandprograms/collegeofsciencemathematics/statistics/crossdisciplinarystudiesminordatascience/
California Polytechnic State University,Business Analytics,M,F,T,US,CA,San Luis Obispo,Business,http://www.cob.calpoly.edu/gradbusiness/degree-programs/ms-business-analytics/
California State University-East Bay,Master of Science in Business Administration: Business Analytics Option,M,T,F,US,CA,Hayward,College of Business and Economics,http://www20.csueastbay.edu/cbe/msba/index.html
California State University-Fullerton,Master of Science in Information Systems and Decision Sciences,M,T,F,US,CA,Fullerton,Mihaylo College of Business and Economics,http://business.fullerton.edu/graduateprograms/msis/
California State University-Fullerton,Certificate in Data Science,C,T,F,US,CA,Fullerton,University Extended Education,http://extension.fullerton.edu/ProfessionalDevelopment/Certificates/Data-Science
California State University-Fullerton,Certificate in Healthcare Analytics,C,T,F,US,CA,Fullerton,University Extended Education,http://extension.fullerton.edu/ProfessionalDevelopment/Certificates/Healthcare-Analytics
California State University-Fullerton,MBA with Business Analytics,M,F,T,US,CA,Fullerton,Mihaylo College of Business and Economics,http://catalog.fullerton.edu/preview_program.php?catoid=2&poid=473&returnto=143
California State University-Long Beach,Master of Science in Applied Statistics,M,T,F,US,CA,Long Beach,Department of Mathematics and Statistics,http://www.csulb.edu/divisions/aa/catalog/current/cnsm/mathematics/mathms05.html
California State University-San Bernardino,Master of Business Administration (M.B.A.) - Business Intelligence and Information Technology Focus,M,F,T,US,CA,San Bernardino,College of Business and Public Administration,http://bulletin.csusb.edu/colleges-schools-departments/business-public-administration/mba/
Chapman University,Master of Science in Computational and Data Sciences,M,T,F,US,CA,Orange,Schmid College of Science & Technology,http://www.chapman.edu/scst/graduate/ms-computational-sciences.aspx
Chapman University,Computational and Data Sciences,D,F,T,US,CA,Orange,Interdisciplinary,http://www.chapman.edu/scst/graduate/phd-computational-science.aspx
Claremont Graduate University,Masters of Science in Information Systems & Technology: Concentration in Data Science & Analytics,M,F,T,US,CA,Claremont,Center for Information Systems and Technology (CISAT),http://www.cgu.edu/pages/6650.asp
Galvanize U,Master of Engineering in Big Data,M,F,T,US,CA,San Francisco,Partnership w/University of New Haven,http://www.galvanizeu.com/
National University,Master of Science in Data Analytics,M,F,T,US,CA,La Jolla,"School of Engineering, Technology and Media",http://www.nu.edu/OurPrograms/SchoolOfEngineeringAndTechnology/ComputerScienceAndInformationSystems/Programs/MasterofScienceinDataAnalytics.html
National University,Master of Science in Health and Life Science Analytics,M,F,T,US,CA,La Jolla,School of Health and Human Services,http://www.nu.edu/OurPrograms/SchoolOfHealthAndHumanServices/CommunityHealth/Programs/MasterofScienceinHealth&LifeScienceAnalytics.html
San Jose State University,Online Business Analytics Certificate,C,F,T,US,CA,San Jose,Lucas Graduate School of Business,http://www.sjsu.edu/lucasschool/bacertificate/
Loyola Marymount University,MS in Business Analytics,M,F,T,US,CA,Los Angelos,Business,https://cba.lmu.edu/academics/graduateprograms/businessanalytics/
Santa Clara University,MBA with concentration in Data Science and Business Analytics,M,T,F,US,CA,Santa Clara,Leavey School of Business,http://www.scu.edu/business/graduates/current-students/data-science.cfm
Stanford University,"Master of Science In Computer Science, Specialization in Information Management and Analytics",M,F,T,US,CA,Stanford,Department of Computer Science,http://cs.stanford.edu/degrees/mscs/specializations/#IMA
Stanford University,Mining Massive Data Sets Graduate Certificate,C,F,F,US,CA,Stanford,Center for Professional Development,http://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=10555807
Stanford University,Data Mining and Applications Graduate Certificate,C,F,T,US,CA,Stanford,Center for Professional Development,http://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=1209602
Stanford University,Biomedical Informatics MS Degree,M,F,T,US,CA,Stanford,School of Medicine: Department of Biomedial Informatics,http://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=1240186#searchResults
Stanford University,M.S. in Statistics: Data Science,M,T,F,US,CA,Stanford,Department of Statistics,https://statistics.stanford.edu/academics/ms-statistics-data-science
University of California Hastings College of Law,Master of Information Management and Systems,M,F,T,US,CA,San Francisco,School of Information,http://www.ischool.berkeley.edu/programs/mims
University of California-Davis,Hybrid MBA with Business Analytics and Technologies Concentration,M,F,T,US,CA,Davis,Graduate School of Management,http://gsm.ucdavis.edu/bay-area-mba
University of California-Davis,Master's of Health Informatics,M,T,T,US,CA,Davis,School of Medicine,http://www.ucdmc.ucdavis.edu/informatics/masters/
University of California-Irvine,Data Science,B,F,T,US,CA,Irvine,Statistics,http://www.stat.uci.edu/ugrad/datascience
University of California-Irvine,Business Intelligence & Data Warehousing Certificate,C,T,F,US,CA,Irvine,UCI Extension School,http://unex.uci.edu/areas/it/data_warehousing/
University of California-Irvine,Predictive Analytics Certificate Program,C,T,F,US,CA,Irvine,UCI Extension School,http://unex.uci.edu/areas/it/predictive_analytics/
University of California-San Diego,Data Mining Certificate,C,T,F,US,CA,La Jolla,UC San Diego Extension School,http://extension.ucsd.edu/programs/index.cfm?vAction=certDetail&vCertificateID=128&vStudyAreaID=14
University of California-San Diego,Master of Advanced Study in Data Science and Engineering,M,F,T,US,CA,La Jolla,Departments of Computer Science and Engineering,http://www.jacobsschool.ucsd.edu/mas/dse/index.sfe
University of California-San Diego,Master of Science in Business Analytics,M,F,T,US,CA,La Jolla,Rady School of Management,http://rady.ucsd.edu/msba/
University of California-Berkeley,Information and Data Science,M,T,F,US,CA,Berkeley,School of Information,http://datascience.berkeley.edu/
University of California-Berkeley,Business Intelligence and SAS Analytics Software,C,F,T,US,CA,Berkeley,,http://extension.berkeley.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=17152&selectedProgramAreaId=15499&selectedProgramStreamId=16388
University of California-Berkeley,Data Science and Systems Concentration,M,F,T,US,CA,Berkeley,Engineering,http://www.eecs.berkeley.edu/MEng/index.shtml
University of San Francisco,Master of Science in Health Informatics,M,F,T,US,CA,San Francisco,School of Nursing and Health Professions,https://www.usfca.edu/nursing/programs/graduate/masters/health-informatics
University of San Francisco,Master of Science in Data Science,M,T,T,US,CA,San Francisco,College of Arts and Sciences,http://www.usfca.edu/msds/
University Of San Francisco,Data Science,B,F,T,US,CA,San Francisco,College of Arts and Sciences,http://usfca.edu/artsci/bsds/
University of Southern California,Master of Science in Computer Science - Data Science,M,F,T,US,CA,Los Angeles,Viterbi School of Engineering,http://gapp.usc.edu/graduate-programs/masters/computer-science/data-science
University of Southern California,Master of Science in Healthcare Decision Analysis Concentration in Business Intelligence,M,T,F,US,CA,Los Angeles,School of Pharmacy,http://hcda.usc.edu/program/
University of Southern California,Master of Science in Business Analytics,M,T,F,US,CA,Los Angeles,Marshall School of Business,http://www.marshall.usc.edu/msanalytics
University of the Pacific,Master of Science in Analytics,M,T,F,US,CA,Stockton,School of Engineering and Computer Science,http://www.pacific.edu/Academics/Schools-and-Colleges/School-of-Engineering-and-Computer-Science/Academics-/MS-Analytics-Program.html
American Sentinel University,Master of Science Business Intelligence and Analytics (MSBIA),M,F,T,US,CO,Aurora,None listed,http://www.americansentinel.edu/management/m-s-business-intelligence
Aspen University,Master of Science in Technology and Innovation - Business Intelligence and Data Management,M,T,F,US,CO,Denver,None listed,http://www.aspen.edu/degrees/masters-degree/master-of-science-in-technology-and-innovation-business-intelligence-and-data-management
Colorado State University-Fort Collins,Graduate Certificate in Business Intelligence,C,F,T,US,CO,Fort Collins,College of Business,http://biz.colostate.edu/degreesCertificates/Pages/certificatePrograms.aspx
